index,source_name,resolved,matched,master_id,master_name,reason,score,has_arc
215,レオ,レオ,True,495,レオ,si.find_character,,True
216,カブ,カブ,True,496,カブ,si.find_character,,True
217,ホトトギス,ホトトギス,True,1590,ホトトギス,si.find_character,,True
218,カイドウ,カイドウ,True,549,カイドウ,si.find_character,,True
219,ワンダ,ワンダ,True,555,ワンダ,si.find_character,,True
220,キャロット,キャロット,True,554,キャロット,si.find_character,,True
221,ヨモ牧師,ヨモ牧師,True,780,ヨモ牧師,si.find_character,,True
222,シシリアン,シシリアン,True,563,シシリアン,si.find_character,,True
223,ジョバンニ,ジョバンニ,True,690,ジョバンニ,si.find_character,,True
224,コンスロット,コンスロット,True,779,コンスロット,si.find_character,,True
225,クリオネ,クリオネ,True,1389,クリオネ,si.find_character,,True
226,ウニ,ウニ,True,1390,ウニ,si.find_character,,True
227,イッカク,イッカク,True,1391,イッカク,si.find_character,,True
228,シャーロット・プリン,シャーロット・プリン,True,568,シャーロット・プリン,si.find_character,,True
229,シャーロット・モスカート,シャーロット・モスカート,True,572,シャーロット・モスカート,si.find_character,,True
230,シャーロット・リンリン（ビッグ・マム）,シャーロット・リンリン(ビッグ・マム),True,426,シャーロット・リンリン(ビッグ・マム),si.find_character,,True
231,ヴィンスモーク・ジャッジ,ヴィンスモーク・ジャッジ,True,576,ヴィンスモーク・ジャッジ,si.find_character,,True
232,ステューシー,ステューシー,True,599,ステューシー,si.find_character,,True
233,シャーロット・モンドール,シャーロット・モンドール,True,586,シャーロット・モンドール,si.find_character,,True
234,シャーロット・スムージー,シャーロット・スムージー,True,591,シャーロット・スムージー,si.find_character,,True
235,ナポレオン,ナポレオン,True,908,ナポレオン,si.find_character,,True
236,プロメテウス,プロメテウス,True,897,プロメテウス,si.find_character,,True
237,ゼウス,ゼウス,True,829,ゼウス,si.find_character,,True
238,シャーロット・カトウ,シャーロット・カトウ,True,802,シャーロット・カトウ,si.find_character,,True
239,モルガンズ,モルガンズ,True,602,モルガンズ,si.find_character,,True
240,シャーロット・カタクリ,シャーロット・カタクリ,True,606,シャーロット・カタクリ,si.find_character,,True
241,シャーロット・モービル,シャーロット・モービル,True,803,シャーロット・モービル,si.find_character,,True
242,シャーロット・ズコット,シャーロット・ズコット,True,800,シャーロット・ズコット,si.find_character,,True
243,シャーロット・ブロワイエ,シャーロット・ブロワイエ,True,801,シャーロット・ブロワイエ,si.find_character,,True
244,シャーロット・ブラウニー,シャーロット・ブラウニー,True,631,シャーロット・ブラウニー,si.find_character,,True
245,コマネ,コマネ,True,636,コマネ,si.find_character,,True
246,モーリー,モーリー,True,638,モーリー,si.find_character,,True
247,ベロ・ベティ,ベロ・ベティ,True,639,ベロ・ベティ,si.find_character,,True
248,リンドバーグ,リンドバーグ,True,640,リンドバーグ,si.find_character,,True
249,カラス,カラス,True,641,カラス,si.find_character,,True
250,あひる,あひる,True,749,あひる,si.find_character,,True
251,セキ,セキ,True,733,セキ,si.find_character,,True
252,お玉（黒炭 玉）,お玉(黒炭 玉),True,782,お玉,si.find_character,,True
253,しのぶ,しのぶ,True,662,しのぶ,si.find_character,,True
254,アルベル（キング）,アルベル(キング),True,1437,アルベル(キング),si.find_character,,True
255,スコッパー・ギャバン,スコッパー・ギャバン,True,694,ギャバン,si.find_character,,True
256,ハクガン,ハクガン,True,740,ハクガン,si.find_character,,True
257,エマ,エマ,True,1595,エマ,si.find_character,,True
258,アラマキ（緑牛）,アラマキ(緑牛),True,730,アラマキ,si.find_character,,True
259,ボンク・パンチ,ボンク・パンチ,True,826,ボンク・パンチ,si.find_character,,True
260,ライムジュース,ライムジュース,True,1297,ライムジュース,si.find_character,,True
261,ホンゴウ,ホンゴウ,True,746,ホンゴウ,si.find_character,,True
262,〝ハウリング〟ガブ,〝ハウリング〟ガブ,True,1298,〝ハウリング〟ガブ,si.find_character,,True
263,ビルディング・スネイク,ビルディング・スネイク,True,1299,ビルディング・スネイク,si.find_character,,True
264,S-スネーク,S-スネーク,True,772,S-スネーク,si.find_character,,True
265,S-ホーク,S-ホーク,True,771,S-ホーク,si.find_character,,True
266,メカシャーク,メカシャーク,True,1596,メカシャーク,si.find_character,,True
267,ベガフォース01,ベガフォース01,True,1597,ベガフォース01,si.find_character,,True
268,ドール,ドール,True,734,ドール,si.find_character,,True
269,ひばり,ひばり,True,735,ひばり,si.find_character,,True
270,プリンス・グルス,プリンス・グルス,True,736,プリンス・グルス,si.find_character,,True
271,ベガパンク PUNK02｢悪｣,ベガパンク PUNK02「悪」,True,737,ベガパンク,si.find_character,,True
272,ベガパンク PUNK01｢正｣,ベガパンク PUNK01「正」,True,737,ベガパンク,si.find_character,,True
273,ベガパンク PUNK05｢暴｣,ベガパンク PUNK05「暴」,True,737,ベガパンク,si.find_character,,True
274,S-ベア,S-ベア,True,774,S-ベア,si.find_character,,True
275,リサイクルワン,リサイクルワン,True,1598,リサイクルワン,si.find_character,,True
276,パシフィスタ POLICE,パシフィスタ POLICE,True,289,パシフィスタ,si.find_character,,True
277,S-シャーク,S-シャーク,True,773,S-シャーク,si.find_character,,True
278,ベガパンク PUNK03｢想｣,ベガパンク PUNK03「想」,True,737,ベガパンク,si.find_character,,True
279,ベガパンク PUNK04｢知｣,ベガパンク PUNK04「知」,True,737,ベガパンク,si.find_character,,True
280,ベガパンク PUNK06｢欲｣,ベガパンク PUNK06「欲」,True,737,ベガパンク,si.find_character,,True
281,ジョシュ,ジョシュ,True,1599,ジョシュ,si.find_character,,True
282,ベガパンク,ベガパンク,True,737,ベガパンク,si.find_character,,True
283,エメト,エメト,True,807,エメト,si.find_character,,True
284,ラーテル,ラーテル,True,742,ラーテル,si.find_character,,True
285,パシフィスタ マークⅢ,パシフィスタ マークIII,True,289,パシフィスタ,si.find_character,,True
286,イヤンエーノウ・チノデ,イヤンエーノウ・チノデ,True,823,イヤンエーノウ・チノデ（表記確認）,si.find_character,,True
287,コロン,コロン,True,922,コロン,si.find_character,,True
288,マト,マト,True,844,マト,si.find_character,,True
289,オリ婆,オリ婆,True,1600,オリ婆,si.find_character,,True
290,ハウンド,ハウンド,True,766,ハウンド,si.find_character,,True
291,ギロチン,ギロチン,True,764,ギロチン,si.find_character,,True
292,レッドキング,レッドキング,True,762,レッドキング,si.find_character,,True
293,玉指ゲロティニー,玉指ゲロティニー,True,743,ゲロティニー,si.find_character,,True
294,慰霊刃のフガー,慰霊刃のフガー,True,1601,慰霊刃のフガー,si.find_character,,True
295,ブルブルのプルル,ブルブルのプルル,True,1602,ブルブルのプルル,si.find_character,,True
296,着火のリナリア,着火のリナリア,True,1603,着火のリナリア,si.find_character,,True
297,孔雀,孔雀,True,747,孔雀,si.find_character,,True
298,ウシアーノ,ウシアーノ,True,748,ウシアーノ,si.find_character,,True
299,ギャンボ,ギャンボ,True,750,ギャンボ,si.find_character,,True
300,ジロン,ジロン,True,751,ジロン,si.find_character,,True
301,プルミング聖,プルミング聖,True,1604,プルミング聖,si.find_character,,True
302,ネフェルタリ・リリィ,ネフェルタリ・リリィ,True,1605,ネフェルタリ・リリィ,si.find_character,,True
303,イム,イム,True,646,イム,si.find_character,,True
304,セラフィム（ドンキホーテ・ドフラミンゴ）,セラフィム(ドンキホーテ・ドフラミンゴ),True,739,セラフィム,si.find_character,,True
305,セラフィム（ゲッコー・モリア）,セラフィム(ゲッコー・モリア),True,739,セラフィム,si.find_character,,True
306,セラフィム（クロコダイル）,セラフィム(クロコダイル),True,739,セラフィム,si.find_character,,True
307,フィガーランド・ガーリング聖,フィガーランド・ガーリング聖,True,756,フィガーランド・ガーリング,si.find_character,,True
308,土茶,土茶,True,765,土茶,si.find_character,,True
309,ポンスキー,ポンスキー,True,819,ポンスキー,si.find_character,,True
310,ブルーグラス,ブルーグラス,True,757,ブルーグラス,si.find_character,,True
311,ウルバン,ウルバン,True,763,ウルバン,si.find_character,,True
312,クラップ,クラップ,True,1606,クラップ,si.find_character,,True
313,ジニー,ジニー,True,758,ジニー,si.find_character,,True
314,ガンズイ,ガンズイ,True,884,ガンズイ,si.find_character,,True
315,ギル・バスター,ギル・バスター,True,909,ギル・バスター,si.find_character,,True
316,シキ（金獅子）,シキ(金獅子),True,321,シキ(金獅子),si.find_character,,True
317,パート,パート,True,1064,パート,si.find_character,,True
318,ポテト,ポテト,True,1065,ポテト,si.find_character,,True
319,ギョギョ,ギョギョ,True,1066,ギョギョ,si.find_character,,True
320,トッツ,トッツ,True,1067,トッツ,si.find_character,,True
321,べコリ,べコリ,True,1607,べコリ,si.find_character,,True
322,ブルドッグ,ブルドッグ,True,760,ブルドッグ,si.find_character,,True
323,コニー,コニー,True,759,コニー,si.find_character,,True
324,アルファ,アルファ,True,761,アルファ,si.find_character,,True
325,シミター太,シミター太,True,815,シミター太,si.find_character,,True
326,ヒッピー・ザ・ドクロカレー,ヒッピー・ザ・ドクロカレー,True,814,ヒッピー,si.find_character,,True
327,ヒロ★ゴーモン,ヒロ★ゴーモン,True,816,ヒロ★ゴーモン,si.find_character,,True
328,ジョイボーイ,ジョイボーイ,True,423,ジョイボーイ,si.find_character,,True
329,トールマン,トールマン,True,792,トールマン,si.find_character,,True
